"","filename","sti","ai","pi","si","nrbs"
"108","toy_example_3.RDa",2,2,1,8,7.34086281962497
"109","toy_example_3.RDa",2,2,1,9,7.32620765747955
"110","toy_example_3.RDa",2,2,1,10,7.3083981094923
"111","toy_example_3.RDa",2,2,2,1,7.32958388884156
"112","toy_example_3.RDa",2,2,2,2,7.32984555493968
"113","toy_example_3.RDa",2,2,2,3,7.329248165028
"114","toy_example_3.RDa",2,2,2,4,7.3355565202789
"115","toy_example_3.RDa",2,2,2,5,7.3198987793526
"116","toy_example_3.RDa",2,2,2,6,7.32743896108696
"117","toy_example_3.RDa",2,2,2,7,7.34159273230922
"118","toy_example_3.RDa",2,2,2,8,7.33010339031122
"119","toy_example_3.RDa",2,2,2,9,7.32846123921301
"120","toy_example_3.RDa",2,2,2,10,7.33344273040069
"121","toy_example_4.RDa",1,1,1,1,8.1884182492604
"122","toy_example_4.RDa",1,1,1,2,8.20571495122965
"123","toy_example_4.RDa",1,1,1,3,8.1930243341335
"124","toy_example_4.RDa",1,1,1,4,8.19078922761754
"125","toy_example_4.RDa",1,1,1,5,8.20124902618116
"126","toy_example_4.RDa",1,1,1,6,8.19972063417977
"127","toy_example_4.RDa",1,1,1,7,8.19735666902454
"128","toy_example_4.RDa",1,1,1,8,8.19023876330739
"129","toy_example_4.RDa",1,1,1,9,8.19018641288159
"130","toy_example_4.RDa",1,1,1,10,8.19745588363381
"131","toy_example_4.RDa",1,1,2,1,8.1953394058653
"132","toy_example_4.RDa",1,1,2,2,8.20530728734061
"133","toy_example_4.RDa",1,1,2,3,8.18421935936556
"134","toy_example_4.RDa",1,1,2,4,8.19488757169048
"135","toy_example_4.RDa",1,1,2,5,8.18459215033452
"136","toy_example_4.RDa",1,1,2,6,8.19160219634358
"137","toy_example_4.RDa",1,1,2,7,8.18857042625741
"138","toy_example_4.RDa",1,1,2,8,8.19160351866676
"139","toy_example_4.RDa",1,1,2,9,8.20442000262172
"140","toy_example_4.RDa",1,1,2,10,8.18673154308165
"141","toy_example_4.RDa",1,2,1,1,8.19876469172134
"142","toy_example_4.RDa",1,2,1,2,8.19336432030399
"143","toy_example_4.RDa",1,2,1,3,8.20606739171673
"144","toy_example_4.RDa",1,2,1,4,8.1998526914859
"145","toy_example_4.RDa",1,2,1,5,8.20309747265461
"146","toy_example_4.RDa",1,2,1,6,8.20084814168582
"147","toy_example_4.RDa",1,2,1,7,8.20326827635766
"148","toy_example_4.RDa",1,2,1,8,8.2073530684807
"149","toy_example_4.RDa",1,2,1,9,8.20971887762468
"150","toy_example_4.RDa",1,2,1,10,8.19768269666233
"151","toy_example_4.RDa",1,2,2,1,8.20177752034444
"152","toy_example_4.RDa",1,2,2,2,8.20195316858706
