"","filename","n_alignments_ok","n_alignments_zeroes","n_alignments_na"
"232","article_0_1_2_0_1_331.RDa",4,0,0
"233","article_0_1_2_0_1_332.RDa",4,0,0
"234","article_0_1_2_0_1_333.RDa",4,0,0
"235","article_0_1_2_0_1_334.RDa",4,0,0
"236","article_0_1_2_0_1_335.RDa",4,0,0
"237","article_0_1_2_0_1_336.RDa",4,0,0
"238","article_0_1_2_0_1_337.RDa",4,0,0
"239","article_0_1_2_0_1_338.RDa",4,0,0
"240","article_0_1_2_0_1_339.RDa",4,0,0
"241","article_0_2_0_0_0_340.RDa",4,0,0
"242","article_0_2_0_0_0_341.RDa",4,0,0
"243","article_0_2_0_0_0_342.RDa",4,0,0
"244","article_0_2_0_0_0_343.RDa",4,0,0
"245","article_0_2_0_0_0_344.RDa",4,0,0
"246","article_0_2_0_0_0_345.RDa",0,0,0
"247","article_0_2_0_0_0_346.RDa",4,0,0
"248","article_0_2_0_0_0_347.RDa",4,0,0
"249","article_0_2_0_0_0_348.RDa",4,0,0
"250","article_0_2_0_0_0_349.RDa",4,0,0
"251","article_0_2_0_0_0_350.RDa",4,0,0
"252","article_0_2_0_0_0_351.RDa",0,4,0
"253","article_0_2_0_0_0_352.RDa",3,1,0
"254","article_0_2_0_0_0_353.RDa",4,0,0
"255","article_0_2_0_0_0_354.RDa",4,0,0
"256","article_0_2_0_0_0_355.RDa",4,0,0
"257","article_0_2_0_0_0_356.RDa",2,2,0
"258","article_0_2_0_0_0_357.RDa",4,0,0
"259","article_0_2_0_0_0_358.RDa",4,0,0
"260","article_0_2_0_0_0_359.RDa",4,0,0
"261","article_0_2_0_0_1_360.RDa",4,0,0
"262","article_0_2_0_0_1_361.RDa",4,0,0
"263","article_0_2_0_0_1_362.RDa",4,0,0
"264","article_0_2_0_0_1_363.RDa",4,0,0
"265","article_0_2_0_0_1_364.RDa",4,0,0
"266","article_0_2_0_0_1_365.RDa",4,0,0
"267","article_0_2_0_0_1_366.RDa",4,0,0
"268","article_0_2_0_0_1_367.RDa",4,0,0
"269","article_0_2_0_0_1_368.RDa",4,0,0
"270","article_0_2_0_0_1_369.RDa",4,0,0
"271","article_0_2_0_0_1_370.RDa",4,0,0
"272","article_0_2_0_0_1_371.RDa",4,0,0
"273","article_0_2_0_0_1_372.RDa",4,0,0
"274","article_0_2_0_0_1_373.RDa",4,0,0
